No,Day,Month,Year,Qobs_0000000001,Qsim_0000000001,Qobs_0000000002,Qsim_0000000002,Qobs_0000000003,Qsim_0000000003,Qobs_0000000004,Qsim_0000000004
113,22,4,2016,1.181,1.1794154,1.102,1.0933038,0.431,0.367672,8.151,7.3418616
114,23,4,2016,1.969,2.0471436,2.176,1.7248332,0.667,0.7556157,15.047,13.4183444
115,24,4,2016,1.7,1.8854656,2.238,1.5499,0.808,0.7662771,19.008,15.3604838
116,25,4,2016,1.332,1.3769753,1.496,1.1691855,0.597,0.4864997,11.501,9.4671184
117,26,4,2016,1.29,1.1841266,1.329,0.993189,0.482,0.3760004,9.364,7.4239641
118,27,4,2016,1.141,1.0562446,1.146,0.8595442,,0.3133632,8.604,6.505897
119,28,4,2016,1.008,0.8681891,0.951,0.7114581,,0.2425086,7.498,5.1425798
120,29,4,2016,0.923,0.730336,0.85,0.5988339,,0.1960774,6.578,4.2251288
121,30,4,2016,0.929,0.8299559,0.879,0.6920272,0.734,0.3368938,6.344,6.2136106
122,1,5,2016,1.312,1.4874783,1.579,1.2035744,1.042,0.6979745,15.019,13.2134518
123,2,5,2016,1.298,1.2881477,1.721,1.1188939,1.101,0.7231321,16.23,13.8874729
124,3,5,2016,1.086,0.9949061,1.232,0.8942058,0.774,0.4721651,11.717,9.2053854
125,4,5,2016,0.966,0.8198931,1.028,0.7374198,0.571,0.3389387,9.137,6.8046761
126,5,5,2016,0.908,0.6929217,0.897,0.6189992,0.44,0.2582129,7.489,5.2948102
127,6,5,2016,0.847,0.5968851,0.812,0.5276098,0.359,0.2078294,6.509,4.3363316
128,7,5,2016,0.798,0.5224634,0.734,0.4560306,0.302,0.1745724,5.814,3.6823372
129,8,5,2016,0.751,0.4638434,0.682,0.3993466,0.258,0.1515926,5.278,3.2134655
130,9,5,2016,0.72,0.4183614,0.655,0.3544836,0.233,0.1352266,4.914,2.8697403
131,10,5,2016,0.705,0.3815379,0.633,0.3182129,0.21,0.1229692,4.833,2.6053294
132,11,5,2016,0.686,0.3807476,0.601,0.304347,0.193,0.1278436,4.598,2.8709482
133,12,5,2016,1.348,1.262742,1.212,1.0291261,0.288,0.3388777,6.804,6.7083616
134,13,5,2016,1.511,1.6095501,2.137,1.3313744,1.022,0.7686285,19.044,13.7351886
135,14,5,2016,1.066,1.3005391,1.417,1.294495,0.9,0.9629954,13.526,16.4557434
136,15,5,2016,0.864,0.9938253,1.163,1.0884928,0.754,0.7140215,11.237,12.3026022
137,16,5,2016,0.788,0.8149121,0.944,0.8798106,0.515,0.4636424,8.13,8.2982124
138,17,5,2016,0.738,0.6877821,0.851,0.7286112,0.397,0.3314371,6.821,6.2301335
139,18,5,2016,0.719,0.6284639,0.781,0.6511102,0.342,0.2711982,6.123,5.3493842
140,19,5,2016,1.953,1.1662888,1.579,1.1033513,1.094,0.6134992,15.491,10.1547987
141,20,5,2016,1.069,1.0799465,1.196,1.062971,0.936,0.6932327,12.366,12.4276698
142,21,5,2016,0.89,0.8389085,0.921,0.851435,0.658,0.4542041,8.474,8.3411433
143,22,5,2016,0.809,0.8265213,0.817,0.8305132,0.5,0.4144075,6.978,7.3226971
144,23,5,2016,3.059,2.4555892,3.767,2.1154451,1.854,1.2657198,30.365,19.5948356
145,24,5,2016,1.873,2.2517314,2.868,2.187505,1.574,1.3754637,25.134,25.0743019
146,25,5,2016,1.371,1.5824335,1.824,1.5203836,0.981,0.7339525,14.091,13.9377896
147,26,5,2016,1.134,1.249918,1.392,1.197989,0.762,0.4817719,10.486,9.6428008
148,27,5,2016,0.983,1.0343578,1.135,0.979717,0.568,0.380808,8.536,7.6936046
149,28,5,2016,1.835,1.2785984,1.446,1.1447548,0.854,0.4676241,11.77,8.4847321
150,29,5,2016,1.516,1.7175539,1.596,1.5938481,0.811,0.642797,11.914,12.607786
151,30,5,2016,1.473,1.4376161,1.918,1.4412231,0.975,0.6826388,16.964,13.7629171
152,31,5,2016,1.238,1.1618931,1.356,1.1315417,0.996,0.5808682,18.06,11.7933542
153,1,6,2016,1.042,0.9897419,1.108,0.9266816,0.853,0.4329299,13.154,9.0499328
154,2,6,2016,1.625,1.5118994,1.533,1.272979,0.939,0.5446853,13.97,10.5701986
155,3,6,2016,2.119,1.9489259,1.861,1.6204443,1.128,0.7185587,16.271,14.0117828
156,4,6,2016,1.762,1.8271429,2.204,1.7469041,1.189,0.693857,16.175,12.9934263
157,5,6,2016,1.41,1.4270565,2.287,1.5063907,0.982,0.5321866,12.89,10.2566765
158,6,6,2016,1.172,1.1154308,1.477,1.1873984,0.688,0.3799313,10.246,7.7304809
159,7,6,2016,1.002,0.9179543,1.22,0.9742039,0.525,0.2934559,8.415,6.2725716
160,8,6,2016,1.129,1.0636085,1.42,1.2098621,0.481,0.3079578,8.508,6.6623788
161,9,6,2016,1.034,1.0693409,1.322,1.1940346,0.42,0.3007768,7.877,6.8528062
162,10,6,2016,0.892,0.9015855,1.04,0.9694384,0.326,0.2412959,6.788,5.3934705
163,11,6,2016,2.482,1.4156301,1.63,1.1760765,0.551,0.4173851,10.251,8.9560302
164,12,6,2016,1.553,1.337057,1.357,1.1466183,0.387,0.4800372,9.287,11.5967265
165,13,6,2016,1.479,1.5325549,1.332,1.2119817,0.598,0.6625503,10.821,13.2774857
166,14,6,2016,1.762,1.4527911,1.651,1.138782,1.205,0.7840213,21.086,16.2250442
167,15,6,2016,1.329,1.1492412,1.337,0.9475405,0.818,0.5867225,13.518,11.907844
168,16,6,2016,2.914,2.335591,2.214,1.8724323,1.12,1.1877796,18.611,21.0979844
169,17,6,2016,2.719,2.4727877,2.637,2.0228259,1.58,1.2870249,27.781,27.4674927
170,18,6,2016,1.83,1.9628751,1.749,1.5964828,0.928,0.7808702,15.227,16.6645067
